# I     J_low   F_low   J_high  F_high
1.5     0.5     1       0.5     1     
1.5     0.5     1       0.5     2     
1.5     0.5     2       0.5     1     
1.5     0.5     2       0.5     2     
1.5     0.5     1       1.5     0     
1.5     0.5     1       1.5     1     
1.5     0.5     1       1.5     2     
1.5     0.5     2       1.5     1     
1.5     0.5     2       1.5     2     
1.5     0.5     2       1.5     3     
2.5     0.5     2       0.5     2     
2.5     0.5     2       0.5     3     
2.5     0.5     3       0.5     2     
2.5     0.5     3       0.5     3     
2.5     0.5     2       1.5     1     
2.5     0.5     2       1.5     2     
2.5     0.5     2       1.5     3     
2.5     0.5     3       1.5     2     
2.5     0.5     3       1.5     3     
2.5     0.5     3       1.5     4     
3.5     0.5     3       0.5     3     
3.5     0.5     3       0.5     4     
3.5     0.5     4       0.5     3     
3.5     0.5     4       0.5     4     
3.5     0.5     3       1.5     2     
3.5     0.5     3       1.5     3     
3.5     0.5     3       1.5     4     
3.5     0.5     4       1.5     3     
3.5     0.5     4       1.5     4     
3.5     0.5     4       1.5     5     
