??    1215.6701000 0.416400 6.265E+08
>>    1215.6701000 0.416400 6.265E+08
<<    1215.6701000 0.416400 6.265E+08
<>    1215.6701000 0.416400 6.265E+08
__    1215.6701000 0.416400 6.265E+08
H I   1215.6701000 0.416400 6.265E+08
H I   1025.7223000 0.079120 1.897E+08
H I    972.5368000 0.029000 8.127E+07
H I    949.7431000 0.013940 4.204E+07
H I    937.8035000 0.007799 2.450E+07
H I    930.7483000 0.004814 1.236E+07
H I    926.2257000 0.003183 8.255E+06
H I    923.1504000 0.002216 5.785E+06
H I    920.9631000 0.001605 4.210E+06
H I    919.3514000 0.001200 3.160E+06
H I    918.1294000 0.000921 2.432E+06
H I    917.1806000 0.000723 1.911E+06
H I    916.4290000 0.000577 1.529E+06
H I    915.8240000 0.000469 1.243E+06
H I    915.3290000 0.000386 1.024E+06
H I    914.9190000 0.000321 8.533E+05
H I    914.5760000 0.000270 7.186E+05
H I    914.2860000 0.000230 6.109E+05
H I    914.0390000 0.000197 5.237E+05
H I    913.8260000 0.000170 4.523E+05
H I    913.6410000 0.000148 3.933E+05
H I    913.4800000 0.000129 3.443E+05
H I    913.3390000 0.000114 3.030E+05
H I    913.2150000 0.000101 2.679E+05
H I    913.1040000 0.000089 2.382E+05
H I    913.0060000 0.000080 2.127E+05
H I    912.9180000 0.000071 1.907E+05
H I    912.8390000 0.000064 1.716E+05
H I    912.7680000 0.000058 1.550E+05
H I    912.7030000 0.000053 1.405E+05
H I    912.6450000 0.000048 1.277E+05
H I    911.7633000 0.000000 1.000E+00
H I2  6564.6230000 0.695800 6.465E+07
H I2  4862.6880000 0.121800 2.062E+07
H I2  4341.6900000 0.044370 9.425E+06
D I   1215.3394000 0.416500 6.270E+08
D I   1025.4433000 0.079100 1.897E+08
D I    972.2722000 0.029010 8.127E+07
D I    949.4847000 0.013950 4.204E+07
D I    937.5484000 0.007808 2.450E+07
D I    930.4951000 0.004817 1.237E+07
D I    925.9737000 0.003184 8.261E+06
D I    922.8990000 0.002216 5.789E+06
D I    920.7120000 0.001605 4.214E+06
D I    919.1020000 0.001201 3.162E+06
D I    917.8790000 0.000921 2.434E+06
D I    916.9310000 0.000723 1.913E+06
D I    916.1790000 0.000577 1.531E+06
D I    915.5750000 0.000469 1.244E+06
D I    915.0800000 0.000386 1.025E+06
HeI    584.3340000 0.285000 2.000E+08
HeI    537.0296000 0.075200 2.000E+08
HeI    522.2128000 0.030700 2.000E+08
HeI    515.6165000 0.015400 2.000E+08
HeII   303.7822000 0.416000 6.270E+08
HeII   256.3170000 0.079000 1.897E+08
BeII  3131.3292000 0.332100 1.130E+08
BeII  3131.9742000 0.166000 1.129E+08
BeII  1036.3190000 0.027690 1.846E+08
BeII  1036.2990000 0.055380 1.846E+08
B II  1362.4630000 0.996000 1.190E+09
B III 2066.4360000 0.238000 1.000E+08
B III 2067.8930000 0.119000 1.000E+08
C I    945.1880000 0.272600 1.000E+08
