Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
AlII,1670,ALL,26.9815,59851.976,0.004,0,Griesmann:2000:L113,1670.78861,0.00011,20.0,3\rm{s}^2~^1\rm{S}_0,3\rm{s}3\rm{p}~^1\rm{P}_1,c_1,5.99,18.83,1.74,1.39E+09,270,30
Ion,Tran.,,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
AlIII,1854,CMP,26.9815,53916.5480,0.0011,1,,1854.718146,0.000039,6.3,3\rm{s}~^2\rm{S}_{1/2},3\rm{p}~^2\rm{P}_{3/2},d_1,18.83,28.45,0.559,5.42E+08,458,6
,,HYP,27; 26.981538,53916.8149,0.0008,0,Griesmann:2000:L113,1854.708966,0.000028,4.4,F=2,"F=1,2,3",,,,41.67%,,,
,,HYP,27; 26.981538,53916.3574,0.0008,0,Griesmann:2000:L113,1854.724704,0.000028,4.4,F=3,"F=2,3,4",,,,58.33%,,,
,1862,CMP,26.9815,53682.8884,0.0011,1,,1862.790974,0.000039,6.3,,3\rm{p}~^2\rm{P}_{1/2},d_2,,,0.278,5.34E+08,224,8
,,HYP,27; 26.981538,53683.1953,0.0008,0,Griesmann:2000:L113,1862.780325,0.000028,4.5,F=2,"F=1,2,3",,,,41.67%,,,
,,HYP,27; 26.981538,53682.6692,0.0008,0,Griesmann:2000:L113,1862.798581,0.000028,4.5,F=3,"F=2,3,4",,,,58.33%,,,
END,,,,,,,,,,,,,,,,,,,
