Summary,,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.,
CaII,3934,CMP,40.0780,25414.416438,0.000086,1,,3934.774589,0.000013,1.0,4\rm{s}~^2\rm{S}_{1/2},4\rm{p}~^2\rm{P}_{3/2}^{\rm o},Ca^2_1,6.11,11.87,0.6267,1.444E+08,446,6,Dzuba:2007:062510,
,,ISO,48; 47.952534,25414.4735,0.0042,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2009:223901",3934.76575,0.00065,49,,,,,,0.187%,,,,,
,,ISO,46; 45.9536926,25414.4583,0.0033,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2009:223901",3934.76811,0.00051,38,,,,,,0.004%,,,,,
,,ISO,44; 43.9554818,25414.4436,0.0023,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2009:223901",3934.77038,0.00035,27,,,,,,2.086%,,,,,
,,ISO+HYP,43; 42.9587666,25414.38165,0.00073,2,"Arbes:1994:27,Maleki:1992:524,Martensson-Pendrill:1992:4675,Nortershauser:1998:33",3934.77998,0.00011,8.6,F=3,"F=2,3,4",,,,0.059%,,,,,
,,ISO+HYP,43; 42.9587666,25414.48235,0.00073,2,"Arbes:1994:27,Maleki:1992:524,Martensson-Pendrill:1992:4675,Nortershauser:1998:33",3934.76438,0.00011,8.6,F=4,"F=3,4,5",,,,0.076%,,,,,
,,ISO,42; 41.95861801,25414.4301,0.0012,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2009:223901",3934.77248,0.00018,14,,,,,,0.647%,,,,,
,,ISO,40; 39.96259098,25414.415619,0.000017,0,Wolf:2009:223901,3934.7747160,0.0000026,0.20,,,,,,96.941%,,,,,
,3969,CMP,40.0780,25191.520729,0.000066,1,,3969.589652,0.000010,0.79,,4\rm{p}~^2\rm{P}_{1/2}^{\rm o},Ca^2_2,,,0.3116,1.409E+08,222,2,Dzuba:2007:062510,
,,ISO,48; 47.952534,25191.5794,0.0042,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2008:032511",3969.58041,0.00066,50,,,,,,0.187%,,,,,
,,ISO,46; 45.9536926,25191.5652,0.0033,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2008:032511",3969.58264,0.00051,39,,,,,,0.004%,,,,,
,,ISO,44; 43.9554818,25191.5496,0.0023,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2008:032511",3969.58510,0.00036,27,,,,,,2.086%,,,,,
,,ISO+HYP,43; 42.9587666,25191.47818,0.00046,2,"Arbes:1994:27,Maleki:1992:524,Martensson-Pendrill:1992:4675,Nortershauser:1998:33",3969.59636,0.00007,5.5,F=3,"F=3,4",,,,0.059%,,,,,
,,ISO+HYP,43; 42.9587666,25191.59225,0.00046,2,"Arbes:1994:27,Maleki:1992:524,Martensson-Pendrill:1992:4675,Nortershauser:1998:33",3969.57838,0.00007,5.5,F=4,"F=3,4",,,,0.076%,,,,,
,,ISO,42; 41.95861801,25191.5348,0.0012,2,"Maleki:1992:524,Martensson-Pendrill:1992:4675,Wolf:2008:032511",3969.58743,0.00019,14,,,,,,0.647%,,,,,
,,ISO,40; 39.96259098,25191.519868,0.000057,0,Wolf:2008:032511,3969.5897875,0.0000089,0.67,,,,,,96.941%,,,,,
END,,,,,,,,,,,,,,,,,,,,,
