Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
CrII,2056,CMP,51.9961,48632.0597,0.0014,0,"Aldenius:2009:014008,Pickering:2000:163,Nave:2012:1570",2056.256728,0.000060,8.7,3\rm{d}^5~^6\rm{S}_{5/2},3\rm{d}^44\rm{p}~^6\rm{P}_{7/2},j_1,6.77,16.50,0.103,4.07E+08,-1110,150
,,ISO,54; 53.9388804,48631.98144,,3,Berengut:2011:052520,2056.2600379,,,,,,,,2.365%,,,
,,ISO,53; 52.9406494,48632.02086,,3,Berengut:2011:052520,2056.2583712,,,,,,,,9.501%,,,
,,ISO,52; 51.9405075,48632.06174,,3,Berengut:2011:052520,2056.2566427,,,,,,,,83.789%,,,
,,ISO,50; 49.9460442,48632.14853,,3,Berengut:2011:052520,2056.2529732,,,,,,,,4.345%,,,
,2062,CMP,51.9961,48491.0583,0.0014,0,"Aldenius:2009:014008,Pickering:2000:163,Nave:2012:1570",2062.235873,0.000060,8.7,,3\rm{d}^44\rm{p}~^6\rm{P}_{5/2},j_2,,,0.0759,4.06E+08,-1280,150
,,ISO,54; 53.9388804,48490.98199,,3,Berengut:2011:052520,2062.2391193,,,,,,,,2.365%,,,
,,ISO,53; 52.9406494,48491.02049,,3,Berengut:2011:052520,2062.2374821,,,,,,,,9.501%,,,
,,ISO,52; 51.9405075,48491.06028,,3,Berengut:2011:052520,2062.2357899,,,,,,,,83.789%,,,
,,ISO,50; 49.9460442,48491.14471,,3,Berengut:2011:052520,2062.2321991,,,,,,,,4.345%,,,
,2066,CMP,51.9961,48398.8729,0.0014,0,"Aldenius:2009:014008,Pickering:2000:163,Nave:2012:1570",2066.163819,0.000060,8.8,,3\rm{d}^44\rm{p}~^6\rm{P}_{3/2},j_3,,,0.0512,4.17E+08,-1360,150
,,ISO,54; 53.9388804,48398.79495,,3,Berengut:2011:052520,2066.1671454,,,,,,,,2.365%,,,
,,ISO,53; 52.9406494,48398.83418,,3,Berengut:2011:052520,2066.1654706,,,,,,,,9.501%,,,
,,ISO,52; 51.9405075,48398.87486,,3,Berengut:2011:052520,2066.1637338,,,,,,,,83.789%,,,
,,ISO,50; 49.9460442,48398.96123,,3,Berengut:2011:052520,2066.1600466,,,,,,,,4.345%,,,
END,,,,,,,,,,,,,,,,,,,
