Updated,18/05/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
CrII,2056,CMP,51.9961,48632.0597,0.0014,0,"Aldenius:2009:014008,Pickering:2000:163,Nave:2012:1570",2056.256728,0.000060,8.7,3\rm{d}^5~^6\rm{S}_{5/2},3\rm{d}^44\rm{p}~^6\rm{P}_{7/2},h_1,6.77,16.50,0.103,4.07E+08,-1110,150
,,ISO,54; 53.9388804,48631.98144,,3,Berengut:2011:052520,2056.2600379,,,,,,,,2.365%,,,
,,ISO,53; 52.9406494,48632.02086,,3,Berengut:2011:052520,2056.2583712,,,,,,,,9.501%,,,
,,ISO,52; 51.9405075,48632.06174,,3,Berengut:2011:052520,2056.2566427,,,,,,,,83.789%,,,
,,ISO,50; 49.9460442,48632.14853,,3,Berengut:2011:052520,2056.2529732,,,,,,,,4.345%,,,
,2062,CMP,51.9961,48491.0583,0.0014,0,"Aldenius:2009:014008,Pickering:2000:163,Nave:2012:1570",2062.235873,0.000060,8.7,,3\rm{d}^44\rm{p}~^6\rm{P}_{5/2},h_2,,,0.0759,4.06E+08,-1280,150
,,ISO,54; 53.9388804,48490.98199,,3,Berengut:2011:052520,2062.2391193,,,,,,,,2.365%,,,
,,ISO,53; 52.9406494,48491.02049,,3,Berengut:2011:052520,2062.2374821,,,,,,,,9.501%,,,
,,ISO,52; 51.9405075,48491.06028,,3,Berengut:2011:052520,2062.2357899,,,,,,,,83.789%,,,
,,ISO,50; 49.9460442,48491.14471,,3,Berengut:2011:052520,2062.2321991,,,,,,,,4.345%,,,
,2066,CMP,51.9961,48398.8729,0.0014,0,"Aldenius:2009:014008,Pickering:2000:163,Nave:2012:1570",2066.163819,0.000060,8.8,,3\rm{d}^44\rm{p}~^6\rm{P}_{3/2},h_3,,,0.0512,4.17E+08,-1360,150
,,ISO,54; 53.9388804,48398.79495,,3,Berengut:2011:052520,2066.1671454,,,,,,,,2.365%,,,
,,ISO,53; 52.9406494,48398.83418,,3,Berengut:2011:052520,2066.1654706,,,,,,,,9.501%,,,
,,ISO,52; 51.9405075,48398.87486,,3,Berengut:2011:052520,2066.1637338,,,,,,,,83.789%,,,
,,ISO,50; 49.9460442,48398.96123,,3,Berengut:2011:052520,2066.1600466,,,,,,,,4.345%,,,
END,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,
Transition,w [/cm],dw [/cm],Reference,Aldenius:2009:014008 wavenumbers increased by 3.7 parts per 10^8 – see Nave:2012:1570,w [/cm],dw [/cm],Reference,Pickering:2000:163 wavenumbers increased by 10.6 parts per 10^8 – see Nave:2012:1570,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,,,,
2056,48632.0575,0.0020,Aldenius:2009:014008,48632.0593,48632.055,0.002,Pickering:2000:163,48632.0602,48632.0597,0.0014,Weighted mean,2056.256728,0.000060,,,,,,
2062,48491.0567,0.0020,Aldenius:2009:014008,48491.0585,48491.053,0.002,Pickering:2000:163,48491.0581,48491.0583,0.0014,Weighted mean,2062.235873,0.000060,,,,,,
2066,48398.8708,0.0020,Aldenius:2009:014008,48398.8726,48398.868,0.002,Pickering:2000:163,48398.8731,48398.8729,0.0014,Weighted mean,2066.163819,0.000060,,,,,,
,,,,,,,,,,,,,,,,,,,
Isotopes,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],Isotopic separation [km/s] [Berengut:2011:052520],w [/cm],dw [/cm],l [Ang.],dl [Ang.],,,,,,,,,,,,,
2056,,,48632.0597,0.0014,2056.256728,0.000060,,,,,,,,,,,,,
54,2.365%,0.495,48631.98144,,2056.2600379,,,,,,,,,,,,,,
53,9.501%,0.252,48632.02086,,2056.2583712,,,,,,,,,,,,,,
52,83.789%,0.000,48632.06174,,2056.2566427,,,,,,,,,,,,,,
50,4.345%,-0.535,48632.14853,,2056.2529732,,,,,,,,,,,,,,
2062,,,48491.0583,0.0014,2062.235873,0.000060,,,,,,,,,,,,,
54,2.365%,0.484,48490.98199,,2062.2391193,,,,,,,,,,,,,,
53,9.501%,0.246,48491.02049,,2062.2374821,,,,,,,,,,,,,,
52,83.789%,0.000,48491.06028,,2062.2357899,,,,,,,,,,,,,,
50,4.345%,-0.522,48491.14471,,2062.2321991,,,,,,,,,,,,,,
2066,,,48398.8729,0.0014,2066.163819,0.000060,,,,,,,,,,,,,
54,2.365%,0.495,48398.79495,,2066.1671454,,,,,,,,,,,,,,
53,9.501%,0.252,48398.83418,,2066.1654706,,,,,,,,,,,,,,
52,83.789%,0.000,48398.87486,,2066.1637338,,,,,,,,,,,,,,
50,4.345%,-0.535,48398.96123,,2066.1600466,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,
Aldenius:2009:014008,http://adsabs.harvard.edu/abs/2009PhST..134a4008A,,,,,,,,,,,,,,,,,,
Berengut:2011:052520,http://adsabs.harvard.edu/abs/2011PhRvA..84e2520B,,,,,,,,,,,,,,,,,,
Nave:2012:1570,http://adsabs.harvard.edu/abs/2012MNRAS.420.1570N,,,,,,,,,,,,,,,,,,
Pickering:2000:163,http://adsabs.harvard.edu/abs/2000MNRAS.319..163P,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,
