Updated,09/11/2013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
MgI,2026,CMP,24.3050,49346.772620,0.000036,1,,2026.4749788,0.0000015,0.2,3\rm{s}^2~^1\rm{S}_0,3\rm{s}4\rm{p}~^1\rm{P}_1^{\rm o},Mg^1_2,0.00,7.65,0.113,6.12E+07,87,7,"Berengut:2005:044501,Savukov:2008:042501"
,,ISO,26; 25.982592929,49346.854173,0.000040,0,Hannemann:2006:012505,2026.4716298,0.0000016,0.2,,,,,,11.01%,,,,
,,ISO,25; 24.98583692,49346.807724,0.000040,0,Hannemann:2006:012505,2026.4735372,0.0000016,0.2,,,,,,10.00%,,,,
,,ISO,24; 23.985041700,49346.756809,0.000035,0,Hannemann:2006:012505,2026.4756281,0.0000014,0.2,,,,,,78.99%,,,,
,2852,CMP,24.3050,35051.28076,0.00019,1,,2852.962797,0.000015,1.6,,3\rm{s}3\rm{p}~^1\rm{P}_1^{\rm o},Mg^1_1,,,1.83,5.00E+08,90,10,"Berengut:2005:044501,Savukov:2008:042501"
,,ISO,26; 25.982592929,35051.32015,0.00025,0,Salumbides:2006:L41,2852.959591,0.000020,2.1,,,,,,11.01%,,,,
,,ISO,25; 24.98583692,35051.29784,0.00025,0,Salumbides:2006:L41,2852.961407,0.000020,2.1,,,,,,10.00%,,,,
,,ISO,24; 23.985041700,35051.27311,0.00017,0,Salumbides:2006:L41,2852.963420,0.000014,1.5,,,,,,78.99%,,,,
END,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,,
Transition,Isotope,w [/cm],dw [/cm],Reference,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,,,,,,,,,
2026,Composite,,,,49346.772620,0.000036,Abundance-weighted mean,2026.4749788,0.0000015,,,,,,,,,,,
,26,49346.854173,0.000040,Hannemann:2006:012505,49346.854173,0.000040,Hannemann:2006:012505,2026.4716298,0.0000016,,,,,,,,,,,
,25,49346.807724,0.000040,Hannemann:2006:012505,49346.807724,0.000040,Hannemann:2006:012505,2026.4735372,0.0000016,,,,,,,,,,,
,24,49346.756809,0.000035,Hannemann:2006:012505,49346.756809,0.000035,Hannemann:2006:012505,2026.4756281,0.0000014,,,,,,,,,,,
2852,Composite,,,,35051.28076,0.00019,Abundance-weighted mean,2852.962797,0.000015,,,,,,,,,,,
,26,35051.32015,0.00025,Salumbides:2006:L41,35051.32015,0.00025,Salumbides:2006:L41,2852.959591,0.000020,,,,,,,,,,,
,25,35051.29784,0.00025,Salumbides:2006:L41,35051.29784,0.00025,Salumbides:2006:L41,2852.961407,0.000020,,,,,,,,,,,
,24,35051.27311,0.00017,Salumbides:2006:L41,35051.27311,0.00017,Salumbides:2006:L41,2852.963420,0.000014,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Isotope,Abundance [%],Reference,,,,,,,,,,,,,,,,,
,26,11.01%,Rosman:1998:1275,,,,,,,,,,,,,,,,,
,25,10.00%,Rosman:1998:1275,,,,,,,,,,,,,,,,,
,24,78.99%,Rosman:1998:1275,,,,,,,,,,,,,,,,,
,Sum,100.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,
Berengut:2005:044501,http://adsabs.harvard.edu/abs/2005PhRvA..72d4501B,,,,,,,,,,,,,,,,,,,
Hannemann:2006:012505,http://adsabs.harvard.edu/abs/2006PhRvA..74a2505H,,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,,
Salumbides:2006:L41,http://adsabs.harvard.edu/abs/2006MNRAS.373L..41S,,,,,,,,,,,,,,,,,,,
Savukov:2008:042501,http://adsabs.harvard.edu/abs/2008PhRvA..77d2501S,,,,,,,,,,,,,,,,,,,
