Updated,18/05/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
MgII,2796,CMP,24.3050,35760.85418,0.00020,1,,2796.353786,0.000016,1.7,3\rm{s}~^2\rm{S}_{1/2},3\rm{p}~^2\rm{P}_{3/2},b_1,7.65,15.04,0.6155,2.625E+08,212,2
,,ISO,26; 25.982592929,35760.9403866,0.0000053,0,Batteiger:2009:022503,2796.34704565,0.00000042,0.04,,,,,,11.01%,,,
,,ISO+HYP,25; 24.98583692,35760.85819,0.00064,4,"Batteiger:2009:022503,Itano:1981:1364,Sur:2005:25",2796.353473,0.000050,5.4,F=2,"F=1,2,3",,,,4.17%,,,
,,ISO+HYP,25; 24.98583692,35760.91593,0.00064,4,"Batteiger:2009:022503,Itano:1981:1364,Sur:2005:25",2796.348958,0.000050,5.4,F=3,"F=2,3,4",,,,5.83%,,,
,,ISO,24; 23.985041700,35760.8373967,0.0000053,0,Batteiger:2009:022503,2796.35509903,0.00000042,0.04,,,,,,78.99%,,,
,2803,CMP,24.3050,35669.30440,0.00020,1,,2803.530982,0.000016,1.7,,3\rm{p}~^2\rm{P}_{1/2},b_2,,,0.3058,2.595E+08,121,2
,,ISO,26; 25.982592929,35669.3905712,0.0000053,0,Batteiger:2009:022503,2803.52420938,0.00000042,0.04,,,,,,11.01%,,,
,,ISO+HYP,25; 24.98583692,35669.30690,0.00064,4,"Batteiger:2009:022503,Itano:1981:1364,Sur:2005:25",2803.530786,0.000050,5.4,F=2,"F=2,3",,,,4.17%,,,
,,ISO+HYP,25; 24.98583692,35669.36657,0.00064,4,"Batteiger:2009:022503,Itano:1981:1364,Sur:2005:25",2803.526096,0.000050,5.4,F=3,"F=2,3",,,,5.83%,,,
,,ISO,24; 23.985041700,35669.2876697,0.0000053,0,Batteiger:2009:022503,2803.53229720,0.00000042,0.04,,,,,,78.99%,,,
END,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,
Transition,Isotope,nu [MHz],dnu[MHz],w [/cm],dw [/cm],Reference,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,,,,,,
2796,26,1072086021.89,0.16,35760.9403866,0.0000053,Batteiger:2009:022503,35760.9403866,0.0000053,Batteiger:2009:022503,2796.34704565,0.00000042,,,,,,,,
,24,1072082934.33,0.16,35760.8373967,0.0000053,Batteiger:2009:022503,35760.8373967,0.0000053,Batteiger:2009:022503,2796.35509903,0.00000042,,,,,,,,
2803,26,1069341427.47,0.16,35669.3905712,0.0000053,Batteiger:2009:022503,35669.3905712,0.0000053,Batteiger:2009:022503,2803.52420938,0.00000042,,,,,,,,
,24,1069338342.56,0.16,35669.2876697,0.0000053,Batteiger:2009:022503,35669.2876697,0.0000053,Batteiger:2009:022503,2803.53229720,0.00000042,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Isotopes,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],Isotopic separation [MHz],Uncertainty [MHz],Reference/note,w [/cm],dw [/cm],l [Ang.],dl [Ang.],,,,,,,,,,,
2796,,,,,,,,,,,,,,,,,,,
26,11.01%,3087.56,0.23,From absolute isotopic measurements above,,,,,,,,,,,,,,,
