Updated,26/10/2013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
NaI,5891,CMP,22.9898,16973.366206,0.000043,1,,5891.583248,0.000015,0.76,3\rm{s}~^2\rm{S}_{1/2},3\rm{p}~^2\rm{P}_{3/2}^{\rm o},a_1,5.14,47.29,0.6408,6.157E+07,62,2,Dzuba:2007:062510
,,ISO+HYP,23; 22.9897692809,16973.401853,,4,"Beckmann:1974:173,Juncar:1981:77,Yei:1993:1909",5891.570875,,,F=1,"F=0,1,2",,,,37.5%,,,,
,,ISO+HYP,23; 22.9897692809,16973.344818,,4,"Beckmann:1974:173,Juncar:1981:77,Yei:1993:1909",5891.590672,,,F=2,"F=1,2,3",,,,62.5%,,,,
,5897,CMP,22.9898,16956.170247,0.000043,1,,5897.558148,0.000015,0.76,,3\rm{p}~^2\rm{P}_{1/2}^{\rm o},a_2,,,0.3201,6.139E+07,45,2,Dzuba:2007:062510
,,ISO+HYP,23; 22.9897692809,16956.208494,,4,"Juncar:1981:77,Wijngaarden:1994:67,Yei:1993:1909",5897.544845,,,F=1,"F=1,2",,,,37.5%,,,,
,,ISO+HYP,23; 22.9897692809,16956.147299,,4,"Juncar:1981:77,Wijngaarden:1994:67,Yei:1993:1909",5897.566130,,,F=2,"F=1,2",,,,62.5%,,,,
END,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,,
,Iodine transition found nearby the 'cross-over line' of hyperfine Na components by Juncar:1981:77,,,Frequency of NaI 'cross-over line' (i.e. average frequency) near iodine line [Juncar:1981:77],,,w [cm-1],ew [cm-1],l [Ang],el [Ang],,,,,,,,,,
Transition,I2 transition,l [Ang.],dl [Ang.],Cross-over trans.,nu [MHz],dnu [MHz],,,,,,,,,,,,,,
5891,“n” of P 38 (15–2),5891.580220,0.000005,F=2–2 & F=1–2,508848923.1,0.5,16973.373061,0.000043,5891.580868,0.000015,,,,,,,,,,
5897,“o” of P 114 (14–1),5897.566617,0.000002,F=2–1 & F=2–2,508332507.7,0.5,16956.147299,0.000043,5897.566130,0.000015,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hyperfine structure,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hyperfine constants,,,,,,,,,,,,,,,,,,,,
Level,Constant [MHz],Uncertainty,Reference/note,,,,,,,,,,,,,,,,,
2s1/2,885.8130644,0.0000005,"Magnetic dipole (A), experiment – Beckmann:1974:173",,,,,,,,,,,,,,,,,
2p1/2,94.44,0.13,"A, experiment – Wijngaarden:1994:67.",,,,,,,,,,,,,,,,,
2p3/2,18.534,0.015,"A, experiment – Yei:1993:1909.",,,,,,,,,,,,,,,,,
2p3/2,2.724,0.030,"Electric quadrupole (B), experiment – Yei:1993:1909.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Energy levels,,,,,,,,,,,,,,,,,,,,
J,F,I,K,C,DE_M1 [MHz],eDE_M1 [MHz],DE_E2 [MHz],eDE_E2 [MHz],DE [MHz],eDE [MHz],,,,,,,,,,
1.5,3,1.5,4.5,0.5,41.7015,0.03,0.68,0.01,42.383,0.035,,,,,,,,,,
1.5,2,1.5,-1.5,-1.5,-13.9005,0.01,-2.04,0.02,-15.944,0.025,,,,,,,,,,
1.5,1,1.5,-5.5,0.5,-50.9685,0.04,0.68,0.01,-50.288,0.042,,,,,,,,,,
1.5,0,1.5,-7.5,2.5,-69.5025,0.06,3.41,0.04,-66.098,0.068,,,,,,,,,,
0.5,2,1.5,1.5,0.0,70.83,0.10,0.00,0.00,70.83,0.10,,,,,,,,,,
0.5,1,1.5,-2.5,0.0,-118.05,0.16,0.00,0.00,-118.05,0.16,,,,,,,,,,
0.5,2,1.5,1.5,0.0,664.3597983,0.0000004,0.0000000,0.0000000,664.3597983,0.0000004,,,,,,,,,,
0.5,1,1.5,-2.5,0.0,-1107.26633050,0.00000063,0.00000000,0.00000000,-1107.26633050,0.00000063,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
23NaI5891 hyperfine structure,,,,,,,,,,,,,,,,,,,,
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew cm-1],l [Ang],el [Ang],Comment,6JSymbol^2,(2F_low+1)(2F_hi+1)*6JSymbol^2,Relative intensity,w [cm-1],ew cm-1],l [Ang],el [Ang],,,,,
nu(F=1–2) – nu(F=2–2),,1771.62612880,0.00000073,,,,,,,,,,,,,,,,,
1,3,508849867.20,0.50,16973.404554,0.000017,5891.5699369,0.0000058,Forbidden,,,,,,,,,,,,
1,2,508849808.87,0.50,16973.402609,0.000017,5891.5706122,0.0000058,,0.0417,0.6250,0.15625,16973.401853,0.000017,5891.5708747,0.0000058,,,,,
1,1,508849774.53,0.50,16973.401463,0.000017,5891.5710099,0.0000058,,0.0694,0.6250,0.15625,,,,,,,,,
1,0,508849758.72,0.50,16973.400936,0.000017,5891.5711929,0.0000058,,0.0833,0.2500,0.06250,,,,,,,,,
2,3,508848095.57,0.50,16973.345459,0.000017,5891.5904493,0.0000058,,0.0500,1.7500,0.43750,16973.344818,0.000017,5891.5906717,0.0000058,,,,,
2,2,508848037.25,0.50,16973.343514,0.000017,5891.5911246,0.0000058,,0.0250,0.6250,0.15625,,,,,,,,,
2,1,508848002.90,0.50,16973.342368,0.000017,5891.5915222,0.0000058,,0.0083,0.1250,0.03125,,,,,,,,,
2,0,508847952.75,0.50,16973.340695,0.000017,5891.5921029,0.0000058,Forbidden,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
23NaI5897 hyperfine structure,,,,,,,,,,,,,,,,,,,,
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew [cm-1],l [Ang],el [Ang],Comment,,,,w [cm-1],ew cm-1],l [Ang],el [Ang],,,,,
