Summary,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
SiII,1526,CMP,28.0855,65500.4538,0.0007,0,Griesmann:2000:L113,1526.706980,0.000016,3.2,3\rm{s}^23\rm{p}~^2\rm{P}_{1/2}^{\rm o},3\rm{s}^24\rm{s}~^2\rm{S}_{1/2},Si^2_2,8.15,16.35,0.133,1.13E+09,47,4,Murphy:2014
,,ISO,30; 29.97377017,65500.42585,,3,Murphy:2014,1526.7076312,,,,,,,,3.087%,,,,
,,ISO,29; 28.976494700,65500.43980,,3,Murphy:2014,1526.7073061,,,,,,,,4.683%,,,,
,,ISO,28; 27.9769265325,65500.45545,,3,Murphy:2014,1526.7069415,,,,,,,,92.230%,,,,
,1808,CMP,28.0855,55309.3404,0.0004,0,Griesmann:2000:L113,1808.012883,0.000013,2.2,,3\rm{s}3\rm{p}^2~^2\rm{D}_{3/2},Si^2_4,,,0.00208,2.38E+06,526,16,Murphy:2014
,,ISO,30; 29.97377017,55309.49010,,3,Murphy:2014,1808.0079895,,,,,,,,3.087%,,,,
,,ISO,29; 28.976494700,55309.41403,,3,Murphy:2014,1808.0104763,,,,,,,,4.683%,,,,
,,ISO,28; 27.9769265325,55309.33165,,3,Murphy:2014,1808.0131691,,,,,,,,92.230%,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
SiIV,1393,CMP,28.0855,71748.355,0.002,0,Griesmann:2000:L113,1393.760177,0.000039,8.4,2\rm{p}^63\rm{s}~^2\rm{S}_{1/2},2\rm{p}^63\rm{p}~^2\rm{P}_{3/2}^{\rm o},Si^4_1,33.49,45.14,0.513,8.80E+08,823,2,Dzuba:2007:062510
,,ISO,30; 29.97377017,71748.5517,,3,Berengut:2003:022502,1393.7563570,,,,,,,,3.087%,,,,
,,ISO,29; 28.976494700,71748.4513,,3,Berengut:2003:022502,1393.7583075,,,,,,,,4.683%,,,,
,,ISO,28; 27.9769265325,71748.3435,,3,Berengut:2003:022502,1393.7604003,,,,,,,,92.230%,,,,
,1402,CMP,28.0855,71287.376,0.002,0,Griesmann:2000:L113,1402.772912,0.000039,8.4,,2\rm{p}^63\rm{p}~^2\rm{P}_{1/2}^{\rm o},Si^4_2,,,0.254,8.62E+08,361,2,Dzuba:2007:062510
,,ISO,30; 29.97377017,71287.5743,,3,Berengut:2003:022502,1402.7690089,,,,,,,,3.087%,,,,
,,ISO,29; 28.976494700,71287.4731,,3,Berengut:2003:022502,1402.7710015,,,,,,,,4.683%,,,,
,,ISO,28; 27.9769265325,71287.3644,,3,Berengut:2003:022502,1402.7731393,,,,,,,,92.230%,,,,
END,,,,,,,,,,,,,,,,,,,,
