Updated,18/05/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
SiII,1526,CMP,28.0855,65500.4538,0.0007,0,Griesmann:2000:L113,1526.706980,0.000016,3.2,3\rm{s}^23\rm{p}~^2\rm{P}_{1/2},3\rm{s}^24\rm{s}~^2\rm{S}_{1/2},e_1,8.15,16.35,0.133,1.13E+09,47,4
,,ISO,30; 29.97377017,65500.42585,,3,Murphy:2013,1526.7076312,,,,,,,,3.087%,,,
,,ISO,29; 28.976494700,65500.43980,,3,Murphy:2013,1526.7073061,,,,,,,,4.683%,,,
,,ISO,28; 27.9769265325,65500.45545,,3,Murphy:2013,1526.7069415,,,,,,,,92.230%,,,
,1808,CMP,28.0855,55309.3404,0.0004,0,Griesmann:2000:L113,1808.012883,0.000013,2.2,,3\rm{s}3\rm{p}^2~^2\rm{D}_{3/2},e_2,,,0.00208,2.38E+06,526,16
,,ISO,30; 29.97377017,55309.49010,,3,Murphy:2013,1808.0079895,,,,,,,,3.087%,,,
,,ISO,29; 28.976494700,55309.41403,,3,Murphy:2013,1808.0104763,,,,,,,,4.683%,,,
,,ISO,28; 27.9769265325,55309.33165,,3,Murphy:2013,1808.0131691,,,,,,,,92.230%,,,
END,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,
Transition,w [/cm],dw [/cm],Reference,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,,,,,,,,,
1526,65500.4538,0.0007,Griesmann:2000:L113,65500.4538,0.0007,Griesmann:2000:L113,1526.706980,0.000016,,,,,,,,,,,
1808,55309.3404,0.0004,Griesmann:2000:L113,55309.3404,0.0004,Griesmann:2000:L113,1808.012883,0.000013,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Isotopes,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],"Normal, specific and total mass shift constants, the field shift constant and deviation in mean-square nuclear radii [Murphy:2012]",,,,,dnu [MHz],dw [/cm],w [/cm],dw [/cm],l [Ang.],dl [Ang.],,,,,,,
,,k_NMS [GHz amu],k_SMS [GHz amu],k_MS [GHz amu],F [MHz/fm^2],d<r^2> [fm^2],,,,,,,,,,,,,
1526,,-1077.22,1453.96,376.74,144.11,,,,65500.4538,0.0007,1526.706980,0.000016,,,,,,,
30,3.087%,,,,,0.068,-887.17,-0.02959,65500.42585,,1526.7076312,,,,,,,,
29,4.683%,,,,,-0.034,-468.91,-0.01564,65500.43980,,1526.7073061,,,,,,,,
28,92.230%,,,,,,0.00,0.00000,65500.45545,,1526.7069415,,,,,,,,
1808,,-909.62,-1090.68,-2000.30,-181.12,,,,55309.3404,0.0004,1808.012883,0.000013,,,,,,,
30,3.087%,,,,,0.068,4750.27,0.15845,55309.49010,,1808.0079895,,,,,,,,
29,4.683%,,,,,-0.034,2469.64,0.08238,55309.41403,,1808.0104763,,,,,,,,
28,92.230%,,,,,,0.00,0.00000,55309.33165,,1808.0131691,,,,,,,,
,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,
Griesmann:2000:L113,http://adsabs.harvard.edu/abs/2000ApJ...536L.113G,,,,,,,,,,,,,,,,,,
Murphy:2013,In preparation,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,
