Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
TiII,1910.6,CMP,47.867,52339.240,0.001,0,Ruffoni:2010:424,1910.61238,0.00004,5.7,3\rm{d}^24\rm{s}~a^4\rm{F}_{3/2},3\rm{d}4\rm{s}4\rm{p}^4\rm{D}_{1/2},g_1,6.82,13.58,0.104,4.17E+08,-1414,170
,,ISO,50; 49.9447912,52339.1552,,3,Murphy:2013,1910.615477,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,52339.1943,,3,Murphy:2013,1910.614051,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,52339.2361,,3,Murphy:2013,1910.612524,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,52339.2785,,3,Murphy:2013,1910.610976,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,52339.3233,,3,Murphy:2013,1910.609339,,,,,,,,8.25%,,,
,1910.9,CMP,47.867,52329.889,0.001,0,Ruffoni:2010:424,1910.95380,0.00004,5.7,,3\rm{d}4\rm{s}4\rm{p}^4\rm{F}_{3/2},g_2,,,0.0980,1.43E+08,-1689,250
,,ISO,50; 49.9447912,52329.8057,,3,Murphy:2013,1910.956836,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,52329.8441,,3,Murphy:2013,1910.955436,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,52329.8852,,3,Murphy:2013,1910.953935,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,52329.9268,,3,Murphy:2013,1910.952416,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,52329.9708,,3,Murphy:2013,1910.950808,,,,,,,,8.25%,,,
,3067,CMP,47.867,32602.6283,0.0014,0,"Aldenius:2009:014008,Ruffoni:2010:424,Nave:2012:1570",3067.23737,0.00013,13.0,,3\rm{d}^24\rm{p~z}^4\rm{D}_{3/2},g_3,,,0.0489,2.50E+08,855,80
,,ISO,50; 49.9447912,32602.65258,,3,Murphy:2013,3067.235089,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,32602.64187,,3,Murphy:2013,3067.236097,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,32602.62930,,3,Murphy:2013,3067.237279,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,32602.61768,,3,Murphy:2013,3067.238373,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,32602.60483,,3,Murphy:2013,3067.239582,,,,,,,,8.25%,,,
,3073,CMP,47.867,32532.3566,0.0007,0,"Aldenius:2009:014008,Ruffoni:2010:424,Nave:2012:1570",3073.86278,0.00007,6.5,,3\rm{d}^24\rm{p~z}^4\rm{D}_{1/2},g_4,,,0.121,2.56E+08,739,80
,,ISO,50; 49.9447912,32532.38075,,3,Murphy:2013,3073.860495,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,32532.37011,,3,Murphy:2013,3073.861501,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,32532.35759,,3,Murphy:2013,3073.862683,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,32532.34604,,3,Murphy:2013,3073.863774,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,32532.33325,,3,Murphy:2013,3073.864983,,,,,,,,8.25%,,,
,3230,CMP,47.867,30958.5871,0.0010,0,"Aldenius:2009:014008,Nave:2012:1570",3230.12157,0.00010,9.7,,3\rm{d}^24\rm{p~z}^4\rm{F}_{5/2},g_5,,,0.0687,2.44E+08,721,70
,,ISO,50; 49.9447912,30958.61173,,3,Murphy:2013,3230.119002,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,30958.60088,,3,Murphy:2013,3230.120133,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,30958.58816,,3,Murphy:2013,3230.121461,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,30958.57639,,3,Murphy:2013,3230.122688,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,30958.56338,,3,Murphy:2013,3230.124046,,,,,,,,8.25%,,,
,3242,CMP,47.867,30836.4271,0.0010,0,"Aldenius:2009:014008,Nave:2012:1570",3242.91785,0.00011,9.7,,3\rm{d}^24\rm{p~z}^4\rm{F}_{3/2},g_6,,,0.232,2.44E+08,563,30
,,ISO,50; 49.9447912,30836.45206,,3,Murphy:2013,3242.915229,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,30836.44106,,3,Murphy:2013,3242.916386,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,30836.42817,,3,Murphy:2013,3242.917742,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,30836.41623,,3,Murphy:2013,3242.918997,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,30836.40304,,3,Murphy:2013,3242.920385,,,,,,,,8.25%,,,
,3384,CMP,47.867,29544.4551,0.0010,0,"Aldenius:2009:014008,Nave:2012:1570",3384.72988,0.00011,10.1,,3\rm{d}^24\rm{p~z}^4\rm{G}_{5/2},g_7,,,0.358,1.75E+08,408,30
,,ISO,50; 49.9447912,29544.48132,,3,Murphy:2013,3384.726877,,,,,,,,5.18%,,,
,,ISO,49; 48.9478700,29544.46970,,3,Murphy:2013,3384.728208,,,,,,,,5.41%,,,
,,ISO,48; 47.9479463,29544.45618,,3,Murphy:2013,3384.729757,,,,,,,,73.72%,,,
,,ISO,47; 46.9517631,29544.44358,,3,Murphy:2013,3384.731201,,,,,,,,7.44%,,,
,,ISO,46; 45.9526316,29544.42969,,3,Murphy:2013,3384.732792,,,,,,,,8.25%,,,
END,,,,,,,,,,,,,,,,,,,
