Updated,18/05/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
ZnII,2026,CMP,65.38,49355.00544,0.00076,0,"Aldenius:2009:014008,Pickering:2000:163,Ruffoni:2010:424,Nave:2012:1570",2026.136946,0.000031,4.6,3\rm{d}^{10}4\rm{s}~^2\rm{S}_{1/2},3\rm{d}^{10}4\rm{p}~^2\rm{P}_{3/2},l_1,9.39,17.96,0.501,4.070E+08,2470,25
,,ISO,70; 69.9253193,49355.05272,0.00086,2,Matsubara:2003:209,2026.135005,0.000035,5.2,,,,,,0.62%,,,
,,ISO,68; 67.9248442,49355.03377,0.00080,2,Matsubara:2003:209,2026.135783,0.000033,4.8,,,,,,18.75%,,,
,,ISO+HYP,67; 66.9271273,49355.15808,0.00503,3,"Campbell:1997:2351,Matsubara:2003:209,Dixit:2008:025001",2026.130680,0.000207,30.6,F=2,"F=1,2,3",,,,1.71%,,,
,,ISO+HYP,67; 66.9271273,49354.92914,0.00191,3,"Campbell:1997:2351,Matsubara:2003:209,Dixit:2008:025001",2026.140078,0.000079,11.6,F=3,"F=2,3,4",,,,2.39%,,,
,,ISO,66; 65.9260334,49355.01143,0.00079,2,Matsubara:2003:209,2026.136700,0.000032,4.8,,,,,,27.90%,,,
,,ISO,64; 63.9291422,49354.98888,0.00105,2,Matsubara:2003:209,2026.137626,0.000043,6.4,,,,,,48.63%,,,
,2062,CMP,65.38,48481.08070,0.00076,0,"Aldenius:2009:014008,Pickering:2000:163,Ruffoni:2010:424,Nave:2012:1570",2062.660291,0.000032,4.7,,3\rm{d}^{10}4\rm{p}~^2\rm{P}_{1/2},l_2,,,0.246,3.860E+08,1560,25
,,ISO,70; 69.9253193,48481.12899,,3,"Berengut:2003:022502,Matsubara:2003:209",2062.658236,,,,,,,,0.62%,,,
,,ISO,68; 67.9248442,48481.10970,,3,"Berengut:2003:022502,Matsubara:2003:209",2062.659057,,,,,,,,18.75%,,,
,,ISO+HYP,67; 66.9271273,48481.23788,,3,"Campbell:1997:2351,Berengut:2003:022502,Matsubara:2003:209,Dixit:2008:025001",2062.653603,,,F=2,"F=2,3",,,,1.71%,,,
,,ISO+HYP,67; 66.9271273,48481.00376,,3,"Campbell:1997:2351,Berengut:2003:022502,Matsubara:2003:209,Dixit:2008:025001",2062.663564,,,F=3,"F=2,3",,,,2.39%,,,
,,ISO,66; 65.9260334,48481.08685,,3,"Berengut:2003:022502,Matsubara:2003:209",2062.660029,,,,,,,,27.90%,,,
,,ISO,64; 63.9291422,48481.06363,,3,"Berengut:2003:022502,Matsubara:2003:209",2062.661017,,,,,,,,48.63%,,,
END,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,
Transition,w [/cm],dw [/cm],Reference,Aldenius:2009:014008 wavenumbers increased by 3.7 parts per 10^8 – see Nave:2012:1570,w [/cm],dw [/cm],Reference,Pickering:2000:163 wavenumbers increased by 10.6 parts per 10^8 – see Nave:2012:1570,w [/cm],dw [/cm],Reference,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,
2026,49355.0055,0.0020,Aldenius:2009:014008,49355.0073,49355.002,0.002,Pickering:2000:163,49355.0072,49355.0047,0.0009,Ruffoni:2010:424,49355.00544,0.00076,Weighted mean,2026.136946,0.000031,,,
2062,48481.0809,0.0020,Aldenius:2009:014008,48481.0827,48481.077,0.002,Pickering:2000:163,48481.0821,48481.0800,0.0009,Ruffoni:2010:424,48481.08070,0.00076,Weighted mean,2062.660291,0.000032,,,
,,,,,,,,,,,,,,,,,,,
Isotopes,,,,,,,,,,,,,,,,,,,
,,"Normal, specific and total mass shift constants and the product of the field shift constant and the deviation in mean-square nuclear radii [Berengut:2003:022502]",,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],k_NMS [GHz amu],k_SMS [GHz amu],ek_SMS [GHz amu],k_MS [GHz amu],F*d<r^2> [MHz],e(F*d<r^2>) [MHz],Isotopic separation [MHz],Uncertainty [MHz],Reference/note,w [/cm],dw [/cm],l [Ang.],dl [Ang.],,,,,
2026,,-812,-1365,20,-2177,,,,,,49355.00544,0.00076,2026.136946,0.000031,,,,,
70,0.62%,,,,,-1000,,1914,12,Matsubara:2003:209,49355.052675,,2026.1350070,,,,,,
68,18.75%,,,,,-650,,1346,7,Matsubara:2003:209,49355.033729,,2026.1357848,,,,,,
67,4.10%,,,,,-67,32,1102,32,Specific mass shift constant derived from data of Matsubara:2003:209. Field shift here is that for 67-66 and is derived by scaling F*d<r^2> for 66-64 by the 67-66 vs. 66-64 relative d<r^2> value from Campbell:1997:2351. ,49355.025581,,2026.1361193,,,,,,
66,27.90%,,,,,-350,,676,6,Matsubara:2003:209,49355.011380,,2026.1367023,,,,,,
64,48.63%,,,,,,,0,0,,49354.988831,,2026.1376280,,,,,,
2062,,-797,-1412,74,-2210,,,,,,48481.08070,0.00076,2062.660291,0.000032,,,,,
70,0.62%,,,,,-1000,,1960,,"Specific mass shift is that calculated by Berengut:2003:022502, scaled up by the ratio of the calculated-vs.-measured specific mass shift values for the 2026 line. Field shift assumed to be the same as for 2026 line – calculations of Berengut:2003:022502 justify this.",48481.128991,,2062.6582359,,,,,,
68,18.75%,,,,,-650,,1381,,"Specific mass shift is that calculated by Berengut:2003:022502, scaled up by the ratio of the calculated-vs.-measured specific mass shift values for the 2026 line. Field shift assumed to be the same as for 2026 line – calculations of Berengut:2003:022502 justify this.",48481.109695,,2062.6590569,,,,,,
67,4.10%,,,,,-67,,1130,,"Specific mass shift is that calculated by Berengut:2003:022502, scaled up by the ratio of the calculated-vs.-measured specific mass shift values for the 2026 line. Field shift assumed to be the same as for 2026 line – calculations of Berengut:2003:022502 justify this.",48481.101306,,2062.6594138,,,,,,
66,27.90%,,,,,-350,,696,,"Specific mass shift is that calculated by Berengut:2003:022502, scaled up by the ratio of the calculated-vs.-measured specific mass shift values for the 2026 line. Field shift assumed to be the same as for 2026 line – calculations of Berengut:2003:022502 justify this.",48481.086855,,2062.6600286,,,,,,
64,48.63%,,,,,,,0,,,48481.063629,,2062.6610168,,,,,,
,,,,,,,,,,,,,,,,,,,
Hyperfine structure,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Hyperfine constants,,,,,,,,,,,,,,,,,,,
Level,Constant [MHz],Reference/note,,,,,,,,,,,,,,,,,
4s1/2,2339.58,"Magnetic dipole (A), calculation – Dixit:2008:025001",,,,,,,,,,,,,,,,,
4p1/2,526.68,"A, calculation – same as above",,,,,,,,,,,,,,,,,
4p3/2,50.74,"A, calculation – same as above",,,,,,,,,,,,,,,,,
4p3/2,61.74,"Electric quadrupole (B), calculation – same as above",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Energy levels,,,,,,,,,,,,,,,,,,,
J,F,I,K,C,DE_M1 [MHz],DE_E2 [MHz],DE [MHz],,,,,,,,,,,,
1.5,4,2.5,7.5,0.5,190.275,15.435,205.710,,,,,,,,,,,,
1.5,3,2.5,-0.5,-1.1,-12.685,-33.957,-46.642,,,,,,,,,,,,
1.5,2,2.5,-6.5,-0.2,-164.905,-6.174,-171.079,,,,,,,,,,,,
1.5,1,2.5,-10.5,1.4,-266.385,43.218,-223.167,,,,,,,,,,,,
0.5,3,2.5,2.5,0.0,658.350,0.000,658.350,,,,,,,,,,,,
0.5,2,2.5,-3.5,0.0,-921.690,0.000,-921.690,,,,,,,,,,,,
0.5,3,2.5,2.5,0.0,2924.475,0.000,2924.475,,,,,,,,,,,,
0.5,2,2.5,-3.5,0.0,-4094.265,0.000,-4094.265,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
67ZnII2026 isotopic+hyperfine structure,,,,,,,,,,,,,,,,,,,
F_low,F_up,dnu [MHz],dw [cm-1],Comment,2F_up+1,dw [cm-1],2F_low+1,,,,,,,,,,,,
2,4,5401.72,0.18018,Forbidden,,,,,,,,,,,,,,,
2,3,5149.36,0.17176,,7,0.169203,5,,,,,,,,,,,,
2,2,5024.93,0.16761,,5,,,,,,,,,,,,,,
2,1,4972.84,0.16588,,3,,,,,,,,,,,,,,
3,4,-1617.02,-0.05394,,9,-0.059736,7,,,,,,,,,,,,
3,3,-1869.38,-0.06236,,7,,,,,,,,,,,,,,
3,2,-1993.81,-0.06651,,5,,,,,,,,,,,,,,
3,1,-2045.90,-0.06824,Forbidden,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Isotope,Isotopic abundance [%] [Rosman:1998:1275],dw (IS+HFS) [cm-1],edw(IS+HFS) [cm-1],w [cm-1],ew [cm-1],wl [Ang.],ewl [Ang.],,,,,,,,,,,,
Composite,,,,49355.00544,0.00076,2026.136946,0.000031,,,,,,,,,,,,
70,0.62%,0.063844,0.00041,49355.05272,0.00086,2026.135005,0.000035,,,,,,,,,,,,
68,18.75%,0.044898,0.00024,49355.03377,0.00080,2026.135783,0.000033,,,,,,,,,,,,
67,1.71%,0.169203,0.00497,49355.15808,0.00503,2026.130680,0.000207,,,,,,,,,,,,
67,2.39%,-0.059736,0.00176,49354.92914,0.00191,2026.140078,0.000079,,,,,,,,,,,,
66,27.90%,0.022549,0.00020,49355.01143,0.00079,2026.136700,0.000032,,,,,,,,,,,,
64,48.63%,,,49354.98888,0.00105,2026.137626,0.000043,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
67ZnII2062 isotopic+hyperfine structure,,,,,,,,,,,,,,,,,,,
F_low,F_up,dnu [MHz],dw [cm-1],Comment,2F_up+1,dw [cm-1],2F_low+1,,,,,,,,,,,,
2,3,5882.12,0.19621,,7,0.174246,5,,,,,,,,,,,,
2,2,4302.08,0.14350,,5,,,,,,,,,,,,,,
3,3,-1136.62,-0.03791,,7,-0.059874,7,,,,,,,,,,,,
3,2,-2716.66,-0.09062,,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Isotopic abundance [%] [Rosman:1998:1275],dw (IS+HFS) [cm-1],edw(IS+HFS) [cm-1],w [cm-1],ew [cm-1],wl [Ang.],ewl [Ang.],,,,,,,,,,,,
Composite,,,,48481.08070,0.00076,2062.660291,0.000032,,,,,,,,,,,,
70,0.62%,0.065362,,48481.12899,,2062.658236,,,,,,,,,,,,,
68,18.75%,0.046066,,48481.10970,,2062.659057,,,,,,,,,,,,,
67,1.71%,0.174246,,48481.23788,,2062.653603,,,,,,,,,,,,,
67,2.39%,-0.059874,,48481.00376,,2062.663564,,,,,,,,,,,,,
66,27.90%,0.023226,,48481.08685,,2062.660029,,,,,,,,,,,,,
64,48.63%,,,48481.06363,,2062.661017,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,
Aldenius:2009:014008,http://adsabs.harvard.edu/abs/2009PhST..134a4008A,,,,,,,,,,,,,,,,,,
