# Ion Label Mass   Omega         e(Omega)  X References                              lambda        e(lambda)  Ground                                   Upper                                            L    IP           f        q    dq   
MgI   2026  24.31  49346.772611  0.000036  1 ----                                    2026.4749792  0.0000015  3\rm{s}^2~^1\rm{S}_0                     3\rm{s}4\rm{p}~^1\rm{P}_1^{\rm{o}}               a_1  ---\,,~7.65   0.113     87     7
----  ----  26     49346.854173  0.000040  0 HannemannS_06a                          2026.4716298  0.0000016  ----                                     ----                                             ---- ----         11.0     ----  ----
----  ----  25     49346.807724  0.000040  0 HannemannS_06a                          2026.4735372  0.0000016  ----                                     ----                                             ---- ----         10.0     ----  ----
----  ----  24     49346.756809  0.000035  0 HannemannS_06a                          2026.4756281  0.0000014  ----                                     ----                                             ---- ----         79.0     ----  ----
----  2852  24.31  35051.28076   0.00019   1 ----                                    2852.962797   0.000015   ----                                     3\rm{s}3\rm{p}~^1\rm{P}_1^{\rm{o}}               a_2  ----          1.83      90    10
----  ----  26     35051.32015   0.00025   0 SalumbidesE_06a                         2852.959591   0.000020   ----                                     ----                                             ---- ----         11.0     ----  ----
----  ----  25     35051.29784   0.00025   0 SalumbidesE_06a                         2852.961407   0.000020   ----                                     ----                                             ---- ----         10.0     ----  ----
----  ----  24     35051.27311   0.00017   0 SalumbidesE_06a                         2852.963420   0.000014   ----                                     ----                                             ---- ----         79.0     ----  ----
MgII  2796  24.31  35760.85409   0.00020   1 ----                                    2796.353794   0.000016   3\rm{s}~^2\rm{S}_{1/2}                   3\rm{p}~^2\rm{P}_{3/2}                           b_1  7.65,~15.04   0.6155    212    2
----  ----  26     35760.940387  0.000005  0 BatteigerV_09a                          2796.3470457  0.0000004  ----                                     ----                                             ---- ----         11.0     ----  ----
----  ----  25     35760.85819   0.00064   3 BatteigerV_09a                          2796.353473   0.000050   F=2                                      F=1,2,3                                          ---- ----          4.2     ----  ----
----  ----  25     35760.91593   0.00064   3 BatteigerV_09a                          2796.348958   0.000050   F=3                                      F=2,3,4                                          ---- ----          5.8     ----  ----
----  ----  24     35760.837397  0.000005  0 BatteigerV_09a                          2796.3550990  0.0000004  ----                                     ----                                             ---- ----         79.0     ----  ----
----  2803  24.31  35669.30439   0.00020   1 ----                                    2803.530983   0.000016   ----                                     3\rm{p}~^2\rm{P}_{1/2}                           b_2  ----          0.3058    121    2
----  ----  26     35669.390571  0.000005  0 BatteigerV_09a                          2803.5242094  0.0000004  ----                                     ----                                             ---- ----         11.0     ----  ----
----  ----  25     35669.30690   0.00064   3 BatteigerV_09a                          2803.530786   0.000050   F=2                                      F=1,2,3                                          ---- ----          4.2     ----  ----
----  ----  25     35669.36657   0.00064   3 BatteigerV_09a                          2803.526096   0.000050   F=3                                      F=2,3,4                                          ---- ----          5.8     ----  ----
----  ----  24     35669.287670  0.000005  0 BatteigerV_09a                          2803.5322972  0.0000004  ----                                     ----                                             ---- ----         79.0     ----  ----
AlII  1670  26.98  59851.976     0.004     0 GriesmannU_00a                          1670.78861    0.00011    3\rm{s}^2~^1\rm{S}_0                     3\rm{s}3\rm{p}~^1\rm{P}_1                        c_1  5.99,~18.83   1.74      270   30
AlIII 1854  26.98  53916.554     0.001     1 GriesmannU_00a                          1854.717941   0.000034   3\rm{s}~^2\rm{S}_{1/2}                   3\rm{p}~^2\rm{P}_{3/2}                           d_1  18.83,~28.45  0.559     458    6
----  ----  27     53916.8149    0.0008    0 GriesmannU_00a                          1854.708966   0.000028   F=2                                      ----                                             ---- ----         41.7     ----  ----
----  ----  27     53916.3574    0.0006    0 GriesmannU_00a                          1854.724704   0.000021   F=3                                      ----                                             ---- ----         58.3     ----  ----
----  1862  26.98  53682.884     0.002     1 GriesmannU_00a                          1862.791127   0.000069   3\rm{s}~^2\rm{S}_{1/2}                   3\rm{p}~^2\rm{P}_{1/2}                           d_2  ----          0.278     224    8
----  ----  27     53683.1953    0.0015    0 GriesmannU_00a                          1862.780325   0.000052   F=2                                      ----                                             ---- ----         41.7     ----  ----
----  ----  27     53682.6692    0.0012    0 GriesmannU_00a                          1862.798581   0.000042   F=3                                      ----                                             ---- ----         58.3     ----  ----
SiII  1526  28.09  65500.4538    0.0007    0 GriesmannU_00a                          1526.706980   0.000016   3\rm{s}^23\rm{p}~^2\rm{P}_{1/2}^{\rm{o}} 3\rm{s}^24\rm{s}~^2\rm{S}_{1/2}                  e_1  8.15,~16.35   0.133      50   30
----  ----  30     65500.441994  ----      3 BerengutJ_03a                           1526.7072550  ----       ----                                     ----                                             ---- ----          3.1     ----  ----
----  ----  29     65500.448002  ----      3 BerengutJ_03a                           1526.7071150  ----       ----                                     ----                                             ---- ----          4.7     ----  ----
----  ----  28     65500.454492  ----      3 BerengutJ_03a                           1526.7069637  ----       ----                                     ----                                             ---- ----         92.2     ----  ----
----  1808  28.09  55309.3404    0.0004    0 GriesmannU_00a                          1808.012883   0.000013   ----                                     3\rm{s}3\rm{p}^2~^2\rm{D}_{3/2}                  e_2  ----          0.00208   520   30
----  ----  30     55309.435938  ----      3 Scaled_mass_shift                       1808.0097601  ----       ----                                     ----                                             ---- ----          3.1     ----  ----
----  ----  29     55309.387116  ----      3 Scaled_mass_shift                       1808.0113560  ----       ----                                     ----                                             ---- ----          4.7     ----  ----
----  ----  28     55309.334806  ----      3 Scaled_mass_shift                       1808.0130660  ----       ----                                     ----                                             ---- ----         92.2     ----  ----
SiIV  1393  28.09  71748.355     0.002     0 GriesmannU_00a                          1393.760177   0.000039   2\rm{p}^63\rm{s}~^2\rm{S}_{1/2}          2\rm{p}^63\rm{p}~^2\rm{P}_{3/2}                  f_1  33.49,~45.14  0.513     823   40
----  ----  30     71748.551629  ----      3 BerengutJ_03a                           1393.7563579  ----       ----                                     ----                                             ---- ----          3.1     ----  ----
----  ----  29     71748.451219  ----      3 BerengutJ_03a                           1393.7583084  ----       ----                                     ----                                             ---- ----          4.7     ----  ----
----  ----  28     71748.343484  ----      3 BerengutJ_03a                           1393.7604012  ----       ----                                     ----                                             ---- ----         92.2     ----  ----
----  1402  28.09  71287.376     0.002     0 GriesmannU_00a                          1402.772912   0.000039   ----                                     2\rm{p}^63\rm{p}~^2\rm{P}_{1/2}                  f_2  ----          0.254     361   15
