# NFeII AlIII      CrII       FeII       MgI        MgII       MnII       SiII       SiIV       TiII       ZnII      
11.2000  9.581439   9.388761  11.199998   9.479989  11.279995   9.231223  11.259996  10.259980   8.657863   8.373055 
11.2500  9.631431   9.438937  11.249998   9.529991  11.329995   9.281239  11.309996  10.309982   8.708205   8.424009 
11.3000  9.681436   9.489093  11.299998   9.579992  11.379995   9.331263  11.359997  10.359984   8.758461   8.475189 
11.3500  9.731441   9.539228  11.349999   9.629993  11.429995   9.381320  11.409997  10.409985   8.808699   8.525837 
11.4000  9.781456   9.589360  11.399999   9.679993  11.479995   9.431364  11.459998  10.459986   8.858870   8.576494 
11.4500  9.831446   9.639400  11.449999   9.729994  11.529995   9.481366  11.509998  10.509987   8.909039   8.626904 
11.5000  9.881447   9.689511  11.499999   9.779995  11.579995   9.531394  11.559998  10.559988   8.959178   8.677316 
11.5500  9.931453   9.739567  11.549999   9.829996  11.629994   9.581417  11.609999  10.609989   9.009289   8.727702 
11.6000  9.981454   9.789628  11.600000   9.879996  11.679994   9.631454  11.659999  10.659990   9.059383   8.778086 
11.6500 10.031464   9.839687  11.650000   9.929997  11.729994   9.681449  11.709999  10.709990   9.109469   8.828377 
11.7000 10.081451   9.889717  11.700000   9.979997  11.779994   9.731456  11.759999  10.759991   9.159554   8.878601 
11.7500 10.131462   9.939763  11.750000  10.029998  11.829993   9.781478  11.810000  10.809992   9.209609   8.928800 
11.8000 10.181463   9.989798  11.800000  10.079998  11.879993   9.831490  11.860000  10.859992   9.259664   8.978994 
11.8500 10.231466  10.039822  11.850000  10.129999  11.929992   9.881498  11.910000  10.909992   9.309712   9.029133 
11.9000 10.281465  10.089847  11.900000  10.179999  11.979991   9.931503  11.960000  10.959993   9.359751   9.079276 
11.9500 10.331467  10.139872  11.950000  10.229999  12.029991   9.981497  12.010000  11.009993   9.409786   9.129348 
12.0000 10.381468  10.189883  12.000001  10.279999  12.079990  10.031520  12.060000  11.059993   9.459814   9.179460 
12.0500 10.431469  10.239901  12.050001  10.329999  12.129989  10.081523  12.110000  11.109993   9.509841   9.229528 
12.1000 10.481468  10.289916  12.100001  10.379999  12.179988  10.131529  12.160000  11.159993   9.559860   9.279593 
12.1500 10.531467  10.339924  12.150001  10.429999  12.229986  10.181535  12.210000  11.209994   9.609881   9.329649 
12.2000 10.581466  10.389937  12.200001  10.479999  12.279985  10.231542  12.260000  11.259994   9.659899   9.379696 
12.2500 10.631464  10.439945  12.250001  10.529999  12.329983  10.281539  12.310000  11.309994   9.709911   9.429745 
12.3000 10.681461  10.489950  12.300002  10.579999  12.379982  10.331542  12.360000  11.359994   9.759925   9.479774 
12.3500 10.731459  10.539957  12.350002  10.629999  12.429980  10.381544  12.410000  11.409994   9.809933   9.529806 
12.4000 10.781456  10.589961  12.400002  10.679999  12.479978  10.431545  12.460000  11.459994   9.859941   9.579828 
12.4500 10.831452  10.639967  12.450002  10.729999  12.529976  10.481545  12.510000  11.509994   9.909948   9.629851 
12.5000 10.881448  10.689970  12.500003  10.779999  12.579974  10.531547  12.560000  11.559994   9.959955   9.679867 
12.5500 10.931443  10.739974  12.550003  10.829999  12.629971  10.581547  12.610000  11.609994  10.009961   9.729885 
12.6000 10.981438  10.789977  12.600003  10.879999  12.679968  10.631547  12.660000  11.659994  10.059965   9.779899 
12.6500 11.031432  10.839979  12.650003  10.929999  12.729964  10.681547  12.710000  11.709994  10.109970   9.829912 
12.7000 11.081425  10.889982  12.700002  10.979999  12.779959  10.731546  12.760000  11.759994  10.159973   9.879920 
12.7500 11.131417  10.939984  12.750002  11.029999  12.829952  10.781545  12.810000  11.809994  10.209977   9.929929 
12.8000 11.181409  10.989986  12.800001  11.079999  12.879943  10.831543  12.859999  11.859994  10.259979   9.979939 
12.8500 11.231399  11.039987  12.850000  11.129999  12.929932  10.881541  12.909999  11.909994  10.309982  10.029944 
12.9000 11.281388  11.089989  12.899999  11.179999  12.979918  10.931539  12.959999  11.959993  10.359984  10.079950 
12.9500 11.331376  11.139990  12.949997  11.229998  13.029903  10.981535  13.009999  12.009993  10.409986  10.129955 
13.0000 11.381363  11.189991  12.999996  11.279998  13.079887  11.031531  13.059998  12.059993  10.459987  10.179960 
13.0500 11.431348  11.239992  13.049994  11.329998  13.129871  11.081526  13.109997  12.109992  10.509989  10.229963 
13.1000 11.481331  11.289992  13.099993  11.379998  13.179855  11.131520  13.159996  12.159992  10.559990  10.279967 
13.1500 11.531312  11.339993  13.149991  11.429997  13.229841  11.181512  13.209995  12.209991  10.609991  10.329970 
13.2000 11.581291  11.389994  13.199990  11.479996  13.279829  11.231504  13.259992  12.259991  10.659992  10.379973 
13.2500 11.631268  11.439994  13.249989  11.529996  13.329820  11.281495  13.309988  12.309990  10.709993  10.429976 
13.3000 11.681242  11.489995  13.299988  11.579995  13.379813  11.331484  13.359982  12.359989  10.759994  10.479978 
13.3500 11.731214  11.539995  13.349988  11.629993  13.429810  11.381471  13.409972  12.409988  10.809994  10.529980 
13.4000 11.781182  11.589996  13.399988  11.679991  13.479809  11.431457  13.459956  12.459987  10.859995  10.579981 
13.4500 11.831147  11.639996  13.449989  11.729988  13.529812  11.481442  13.509931  12.509986  10.909995  10.629983 
13.5000 11.881108  11.689996  13.499990  11.779983  13.579820  11.531424  13.559893  12.559985  10.959996  10.679984 
13.5500 11.931066  11.739996  13.549991  11.829977  13.629833  11.581405  13.609841  12.609983  11.009996  10.729986 
13.6000 11.981020  11.789997  13.599993  11.879967  13.679852  11.631383  13.659778  12.659982  11.059996  10.779987 
13.6500 12.030971  11.839997  13.649995  11.929954  13.729878  11.681359  13.709714  12.709980  11.109996  10.829988 
13.7000 12.080919  11.889997  13.699997  11.979934  13.779913  11.731332  13.759659  12.759979  11.159997  10.879988 
13.7500 12.130865  11.939997  13.750000  12.029906  13.829958  11.781301  13.809621  12.809977  11.209997  10.929989 
13.8000 12.180810  11.989997  13.800004  12.079871  13.880013  11.831268  13.859598  12.859976  11.259997  10.979990 
13.8500 12.230756  12.039998  13.850007  12.129831  13.930077  11.881231  13.909587  12.909975  11.309997  11.029990 
